Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Initial_Cost_Estimate,US East (N. Virginia),,Amazon EC2,0,442.86,5314.32,USD,"Operating system (Linux), Quantity (6), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (30 GB), Instance type (c5a.xlarge)"
Initial_Cost_Estimate,US East (N. Virginia),backend,Amazon EC2,0,280.8,3369.60,USD,"Operating system (Linux), Quantity (6), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (30 GB), Instance type (m5.large)"
Initial_Cost_Estimate,US East (N. Virginia),rds,Amazon RDS for PostgreSQL,0,3507.52,42090.24,USD,"Storage volume (General Purpose SSD (gp2)), Storage amount (2 TB per month), Nodes (2), Instance Type (db.m5.2xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (OnDemand), Additional backup storage (5 TB)"
Initial_Cost_Estimate,US East (N. Virginia),NAT,Network Address Translation (NAT) Gateway,0,1184.85,14218.20,USD,Number of NAT Gateways (1)
Initial_Cost_Estimate,US East (N. Virginia),NAT,Data Transfer,0,2227.2,26726.40,USD,"DT Inbound: Internet (20 TB per month), DT Outbound: Internet (25 TB per month), DT Intra-Region: (0 TB per month), Data transfer cost (2227.2)"
Initial_Cost_Estimate,US East (N. Virginia),ELB,Application Load Balancer,0,79.57,954.84,USD,Number of Application Load Balancers (2)
Initial_Cost_Estimate,US East (N. Virginia),S3 storage,S3 Standard,0,561.3,6735.60,USD,S3 Standard storage (10 TB per month)
Initial_Cost_Estimate,US East (N. Virginia),S3 storage,Data Transfer,0,0,0.00,USD,"DT Inbound: Internet (1 TB per month), DT Outbound: Amazon CloudFront (20 TB per month)"
Initial_Cost_Estimate,US East (N. Virginia),elastic-cache,Amazon ElastiCache,0,227.03,2724.36,USD,"Nodes (1), Instance type (cache.m4.xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Cache Engine (Memcached), Cache Node Type (Standard), Pricing strategy (OnDemand), Nodes (0), Instance type (cache.r6gd.12xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Cache Engine (Redis), Cache Node Type (Memory optimized), Pricing strategy (OnDemand)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
